category,token_set,output
statement,PLEASE|NO|THANKS,Please don't say thanks.
statement,NO|THANKS,No thanks.
statement,PLEASE|GO|ME,Please go with me.
statement,ME|GO,Me go.
statement,I|LOVE|YOU,I love you.
statement,LOVE|YOU,Love you.
statement,I|LOVE|FAMILY,I love my family.
statement,LOVE|FAMILY,Love family.
statement,I|WANT|HELP,I want help.
statement,WANT|HELP,Want help.
statement,I|WANT|HELP|YOU,I want to help you.
statement,WANT|HELP|YOU,Want to help you.
statement,HELP|YOU,Help you.
statement,I|WANT|SLEEP,I want to sleep.
statement,WANT|SLEEP,Want to sleep.
statement,I|WANT|EAT,I want to eat.
statement,WANT|EAT,Want to eat.
statement,I|WANT|GO,I want to go.
statement,WANT|GO,Want to go.
statement,I|WANT|GO|HOME,I want to go home.
statement,WANT|GO|HOME,Want to go home.
statement,GO|HOME,Go home.
statement,YES|I|WANT|SLEEP,Yes. I want to sleep.
statement,YES|WANT|SLEEP,Yes. Want to sleep.
statement,YES|I|WANT|EAT,Yes. I want to eat.
statement,YES|WANT|EAT,Yes. Want to eat.
statement,YES|I|WANT|GO|HOME,Yes. I want to go home.
statement,YES|WANT|GO|HOME,Yes. Want to go home.
statement,YES|I|WANT|HELP,Yes. I want help.
statement,YES|WANT|HELP,Yes. Want help.
statement,YES|I|WANT|HELP|YOU,Yes. I want to help you.
statement,YES|WANT|HELP|YOU,Yes. Want to help you.
statement,YES|I|LOVE|ME|FAMILY,Yes. I love my family.
statement,YES|I|FROM|HERE,"Yes, I am from here."
statement,I|FROM|HERE,I am from here.
# EXISTING / NEW CSV PHRASES - kept after the moved hardcoded phrases
question,WHO|YOU,Who are you?
question,WHO|ME|FAMILY,Who is my family?
question,WHO|YOU|LIKE,Who do you like?
question,WHO|YOU|LOVE,Who do you love?
question,WHO|YOU|KNOW,Who do you know?
question,WHO|HERE,Who is here?
question,WHERE|YOU,Where are you?
question,WHERE|HOME,Where is home?
question,WHERE|ME|FAMILY,Where is my family?
question,WHERE|ME|FRIEND,Where is my friend?
question,WHERE|YOU|WANT|GO,Where do you want to go?
question,WHERE|YOU|WANT|EAT,Where do you want to eat?
question,WHERE|YOU|WANT|SLEEP,Where do you want to sleep?
question,WHY|YOU|LIKE|ME,Why do you like me?
question,WHY|YOU|LOVE|ME,Why do you love me?
question,WHY|YOU|WANT|HELP,Why do you want help?
question,WHY|YOU|WANT|GO|HOME,Why do you want to go home?
question,WHY|YOU|WANT|EAT,Why do you want to eat?
question,WHY|YOU|WANT|SLEEP,Why do you want to sleep?
question,HOW|YOU|KNOW,How do you know?
question,HOW|YOU|UNDERSTAND,How do you understand?
question,HOW|I|GO|HOME,How do I go home?
question,WHAT|YOU|KNOW,What do you know?
question,YOU|UNDERSTAND,Do you understand?
question,YOU|KNOW,Do you know?
question,YOU|LIKE|ME,Do you like me?
question,YOU|LOVE|ME,Do you love me?
question,WHAT|ME|NAME,What is my name?
statement,ME|FAMILY,My family.
statement,ME|FRIEND,My friend.
statement,ME|HOME,My home.
statement,I|KNOW|ME|NAME,I know my name.
statement,KNOW|ME|NAME,Know my name.
statement,I|LIKE|ME|FAMILY,I like my family.
statement,LIKE|ME|FAMILY,Like my family.
statement,I|LIKE|ME|FRIEND,I like my friend.
statement,LIKE|ME|FRIEND,Like my friend.
statement,I|LOVE|ME|FRIEND,I love my friend.
statement,LOVE|ME|FRIEND,Love my friend.
statement,I|WANT|ME|FAMILY,I want my family.
statement,WANT|ME|FAMILY,Want my family.
statement,I|WANT|ME|FRIEND,I want my friend.
statement,WANT|ME|FRIEND,Want my friend.
statement,I|KNOW|ME|FAMILY,I know my family.
statement,KNOW|ME|FAMILY,Know my family.
statement,I|KNOW|ME|FRIEND,I know my friend.
statement,KNOW|ME|FRIEND,Know my friend.


# ===== USER 211 PHRASES ADDED BELOW HARDCODED PHRASES =====
# STANDALONE / GREETINGS (already in code)
standalone,"HELLO","Hello!"
standalone,"GOODBYE","Goodbye!"
standalone,"THANKS","Thank you."
standalone,"SORRY","Sorry."
standalone,"YES","Yes."
standalone,"NO","No."
standalone,"OKAY","Okay."
standalone,"GOOD","Good."
standalone,"GOOD MORNING","Good morning!"
standalone,"GOOD AFTERNOON","Good afternoon!"
# QUESTIONS (already in code)
question,"WHAT|NAME","What is name?"
question,"WHAT|YOU|NAME","What is your name?"
question,"WHERE|FROM","Where are you from?"
question,"WHERE|YOU|FROM","Where are you from?"
question,"WHY|HERE","Why here?"
question,"WHY|YOU|HERE","Why are you here?"
question,"HOW|YOU","How are you?"
question,"HOW|YOU|TODAY","How are you today?"
question,"HOW|TODAY","How today?"
question,"WHAT|LIKE","What like?"
question,"LIKE|WHAT","Like what?"
question,"WHAT|YOU|LIKE","What do you like?"
question,"WHAT|UNDERSTAND","What understand?"
question,"WHAT|YOU|UNDERSTAND","What did you understand?"
# QUESTIONS (NEW)
question,"WHO|YOU","Who are you?"
question,"WHO|ME|FRIEND","Who is my friend?"
question,"WHO|ME|FAMILY","Who is my family?"
question,"WHO|I|FAMILY","Who is my family?"
question,"WHO|YOU|LIKE","Who do you like?"
question,"WHO|YOU|LOVE","Who do you love?"
question,"WHO|YOU|KNOW","Who do you know?"
question,"WHO|HERE","Who is here?"
question,"WHERE|YOU","Where are you?"
question,"WHERE|HOME","Where is home?"
question,"WHERE|ME|FAMILY","Where is my family?"
question,"WHERE|ME|FRIEND","Where is my friend?"
question,"WHERE|YOU|WANT|GO","Where do you want to go?"
question,"WHERE|YOU|GO","Where are you going?"
question,"WHERE|YOU|WANT|EAT","Where do you want to eat?"
question,"WHERE|YOU|WANT|SLEEP","Where do you want to sleep?"
question,"WHY|YOU|LIKE|ME","Why do you like me?"
question,"WHY|YOU|LOVE|ME","Why do you love me?"
question,"WHY|YOU|WANT|HELP","Why do you want help?"
question,"WHY|YOU|WANT|GO|HOME","Why do you want to go home?"
question,"WHY|YOU|WANT|EAT","Why do you want to eat?"
question,"WHY|YOU|WANT|SLEEP","Why do you want to sleep?"
question,"HOW|YOU|KNOW","How do you know?"
question,"HOW|YOU|UNDERSTAND","How do you understand?"
question,"HOW|I|GO|HOME","How do I go home?"
question,"WHAT|YOU|KNOW","What do you know?"
question,"YOU|UNDERSTAND","Do you understand?"
question,"YOU|KNOW","Do you know?"
question,"YOU|LIKE|ME","Do you like me?"
question,"YOU|LOVE|ME","Do you love me?"
question,"WHAT|ME|NAME","What is my name?"
# ME -> MY CASES (already in code)
me_my,"ME|NAME","My name."
me_my,"I|LOVE|ME|FAMILY","I love my family."
me_my,"LOVE|ME|FAMILY","Love my family."
# ME -> MY CASES (NEW)
me_my,"ME|FAMILY","My family."
me_my,"ME|FRIEND","My friend."
me_my,"ME|HOME","My home."
me_my,"I|KNOW|ME|NAME","I know my name."
me_my,"KNOW|ME|NAME","Know my name."
me_my,"I|LIKE|ME|FAMILY","I like my family."
me_my,"LIKE|ME|FAMILY","Like my family."
me_my,"I|LIKE|ME|FRIEND","I like my friend."
me_my,"LIKE|ME|FRIEND","Like my friend."
me_my,"I|LOVE|ME|FRIEND","I love my friend."
me_my,"LOVE|ME|FRIEND","Love my friend."
me_my,"I|WANT|ME|FAMILY","I want my family."
me_my,"WANT|ME|FAMILY","Want my family."
me_my,"I|WANT|ME|FRIEND","I want my friend."
me_my,"WANT|ME|FRIEND","Want my friend."
me_my,"I|KNOW|ME|FAMILY","I know my family."
me_my,"KNOW|ME|FAMILY","Know my family."
me_my,"I|KNOW|ME|FRIEND","I know my friend."
me_my,"KNOW|ME|FRIEND","Know my friend."
me_my,"ME|FAMILY|HERE","My family is here."
me_my,"ME|FRIEND|HERE","My friend is here."
me_my,"GO|ME|FAMILY","Go with my family."
me_my,"GO|ME|FRIEND","Go with my friend."
me_my,"HELP|ME|FAMILY","Help my family."
me_my,"HELP|ME|FRIEND","Help my friend."
me_my,"ME|FRIEND|KNOW","My friend knows."
me_my,"ME|FAMILY|KNOW","My family knows."
me_my,"I|LIKE|ME|HOME","I like my home."
# STATEMENTS (already in code)
statement,"I|NO|KNOW","I do not know."
statement,"NO|KNOW","Do not know."
statement,"PLEASE|GO|ME","Please go with me."
statement,"GO|ME","Go with me."
statement,"I|LOVE|YOU","I love you."
statement,"LOVE|YOU","Love you."
statement,"I|LOVE|FAMILY","I love my family."
statement,"LOVE|FAMILY","Love family."
statement,"I|WANT|HELP","I want help."
statement,"WANT|HELP","Want help."
statement,"I|WANT|HELP|YOU","I want to help you."
statement,"WANT|HELP|YOU","Want to help you."
statement,"HELP|YOU","Help you."
statement,"I|WANT|SLEEP","I want to sleep."
statement,"WANT|SLEEP","Want to sleep."
statement,"I|WANT|EAT","I want to eat."
statement,"WANT|EAT","Want to eat."
statement,"I|WANT|GO|HOME","I want to go home."
statement,"WANT|GO|HOME","Want to go home."
statement,"GO|HOME","Go home."
statement,"I|FROM|HERE","I'm from here."
statement,"YES|I|FROM|HERE","Yes, I'm from here."
# STATEMENTS (NEW)
statement,"I|LIKE|YOU","I like you."
statement,"LIKE|YOU","Like you."
statement,"I|LIKE|FAMILY","I like my family."
statement,"LIKE|FAMILY","Like family."
statement,"I|LIKE|FRIEND","I like my friend."
statement,"LIKE|FRIEND","Like friend."
statement,"I|UNDERSTAND","I understand."
statement,"I|NO|UNDERSTAND","I do not understand."
statement,"NO|UNDERSTAND","Do not understand."
statement,"I|UNDERSTAND|YOU","I understand you."
statement,"UNDERSTAND|YOU","Understand you."
statement,"YOU|UNDERSTAND|ME","You understand me."
statement,"I|WANT|UNDERSTAND","I want to understand."
statement,"WANT|UNDERSTAND","Want to understand."
statement,"I|KNOW|YOU","I know you."
statement,"KNOW|YOU","Know you."
statement,"YOU|KNOW|ME","You know me."
statement,"I|WANT|KNOW","I want to know."
statement,"WANT|KNOW","Want to know."
statement,"I|WANT|YOU","I want you."
statement,"WANT|YOU","Want you."
statement,"I|LIKE|YOU|TODAY","I like you today."
statement,"I|LOVE|YOU|TODAY","I love you today."
statement,"I|WANT|EAT|TODAY","I want to eat today."
statement,"I|WANT|SLEEP|TODAY","I want to sleep today."
statement,"I|WANT|GO|HOME|TODAY","I want to go home today."
statement,"I|WANT|GO|HERE","I want to go here."
statement,"WANT|GO|HERE","Want to go here."
statement,"GO|HERE","Go here."
statement,"I|AM|HERE","I am here."
statement,"YOU|HERE","You are here."
statement,"YOU|FROM|HERE","You are from here."
statement,"YOU|ME|FRIEND","You are my friend."
statement,"YOU|ME|FAMILY","You are my family."
statement,"YOU|LOVE|ME","You love me."
statement,"YOU|LIKE|ME","You like me."
statement,"YOU|KNOW|ME","You know me."
statement,"YOU|WANT|HELP","You want help."
statement,"YOU|WANT|GO|HOME","You want to go home."
statement,"YOU|WANT|EAT","You want to eat."
statement,"YOU|WANT|SLEEP","You want to sleep."
statement,"PLEASE|HELP|ME","Please help me."
statement,"PLEASE|HELP|YOU","Please help you."
statement,"PLEASE|GO|HOME","Please go home."
statement,"PLEASE|GO|HERE","Please go here."
statement,"PLEASE|EAT","Please eat."
statement,"PLEASE|SLEEP","Please sleep."
statement,"PLEASE|UNDERSTAND","Please understand."
statement,"PLEASE|KNOW|ME|NAME","Please know my name."
statement,"PLEASE|LIKE|ME","Please like me."
statement,"PLEASE|LOVE|ME","Please love me."
statement,"I|LOVE|FRIEND","I love my friend."
statement,"LOVE|FRIEND","Love friend."
statement,"EAT|TODAY","Eat today."
statement,"SLEEP|TODAY","Sleep today."
statement,"I|FROM|HOME","I'm from home."
statement,"I|NO|KNOW|YOU","I do not know you."
statement,"NO|KNOW|YOU","Do not know you."
statement,"I|WANT|LIKE|YOU","I want to like you."
statement,"I|WANT|LOVE|YOU","I want to love you."
# YES-PREFIXED STATEMENTS (already in code)
yes_prefix,"YES|I|WANT|SLEEP","Yes. I want to sleep."
yes_prefix,"YES|WANT|SLEEP","Yes. Want to sleep."
yes_prefix,"YES|I|WANT|EAT","Yes. I want to eat."
yes_prefix,"YES|WANT|EAT","Yes. Want to eat."
yes_prefix,"YES|I|WANT|GO|HOME","Yes. I want to go home."
yes_prefix,"YES|WANT|GO|HOME","Yes. Want to go home."
yes_prefix,"YES|I|WANT|HELP","Yes. I want help."
yes_prefix,"YES|WANT|HELP","Yes. Want help."
yes_prefix,"YES|I|WANT|HELP|YOU","Yes. I want to help you."
yes_prefix,"YES|WANT|HELP|YOU","Yes. Want to help you."
yes_prefix,"YES|I|LOVE|ME|FAMILY","Yes. I love my family."
# YES-PREFIXED STATEMENTS (NEW)
yes_prefix,"YES|I|LOVE|YOU","Yes. I love you."
yes_prefix,"YES|I|LIKE|YOU","Yes. I like you."
yes_prefix,"YES|I|UNDERSTAND","Yes. I understand."
yes_prefix,"YES|I|KNOW","Yes. I know."
yes_prefix,"YES|I|NO|KNOW","Yes. I do not know."
yes_prefix,"YES|GO|HOME","Yes. Go home."
yes_prefix,"YES|PLEASE|HELP|ME","Yes. Please help me."
yes_prefix,"YES|I|WANT|YOU","Yes. I want you."
yes_prefix,"YES|I|WANT|UNDERSTAND","Yes. I want to understand."
yes_prefix,"YES|I|WANT|KNOW","Yes. I want to know."
yes_prefix,"YES|I|AM|HERE","Yes. I am here."
yes_prefix,"YES|YOU|ME|FRIEND","Yes. You are my friend."
yes_prefix,"YES|I|WANT|EAT|TODAY","Yes. I want to eat today."
yes_prefix,"YES|I|WANT|GO|HOME|TODAY","Yes. I want to go home today."
yes_prefix,"YES|I|WANT|SLEEP|TODAY","Yes. I want to sleep today."
yes_prefix,"YES|I|LIKE|ME|FAMILY","Yes. I like my family."
yes_prefix,"YES|I|LOVE|ME|FRIEND","Yes. I love my friend."
yes_prefix,"YES|I|LIKE|YOU|TODAY","Yes. I like you today."
yes_prefix,"YES|I|LOVE|YOU|TODAY","Yes. I love you today."
yes_prefix,"YES|I|KNOW|YOU","Yes. I know you."
yes_prefix,"YES|I|UNDERSTAND|YOU","Yes. I understand you."
yes_prefix,"YES|YOU|ME|FAMILY","Yes. You are my family."
yes_prefix,"YES|YOU|FROM|HERE","Yes. You are from here."
yes_prefix,"YES|GO|HERE","Yes. Go here."
yes_prefix,"YES|I|WANT|GO|HERE","Yes. I want to go here."
yes_prefix,"YES|I|FROM|HOME","Yes. I'm from home."
yes_prefix,"YES|I|LIKE|FRIEND","Yes. I like my friend."
yes_prefix,"YES|I|LOVE|FRIEND","Yes. I love my friend."
yes_prefix,"YES|GOOD|MORNING","Yes. Good morning."
yes_prefix,"YES|GOOD|AFTERNOON","Yes. Good afternoon."
yes_prefix,"YES|I|KNOW|NAME","Yes. I know the name."
