phrase,english
TODAY HERE,Here today.
TODAY HOME,Home today.
TODAY I EAT,I eat today.
TODAY I GO,I go today.
TODAY KNOW,Know today.
TODAY SLEEP,Sleep today.
TODAY UNDERSTAND,Understand today.
TODAY WANT,Want today.
TODAY YOU GO,You go today.
UNDERSTAND,I understand.
UNDERSTAND FAMILY,Family understands.
UNDERSTAND FRIEND,Friend understands.
UNDERSTAND FROM,Understand from here.
UNDERSTAND HERE,Understand here.
UNDERSTAND HOME,Understand home.
UNDERSTAND I,I understand.
UNDERSTAND ME,I understand.
UNDERSTAND TODAY,Understand today.
UNDERSTAND YOU,You understand.
WANT,Want.
WANT FAMILY,Want family.
WANT FRIEND,Want a friend.
WANT FROM,Want from here.
WANT HERE,Want here.
WANT HOME,Want to go home.
WANT I,I want.
WANT ME,I want.
WANT NAME,Want to know the name.
WANT TODAY,Want today.
WANT YOU,Want you.
WHAT,What?
WHAT EAT,What do you want to eat?
WHAT FAMILY,What about your family?
WHAT FRIEND,What about your friend?
WHAT FROM,Where are you from?
WHAT GO,What is going on?
WHAT HELP,What help do you need?
WHAT HERE,What is here?
WHAT HOME,What about home?
WHAT I,What do I do?
WHAT KNOW,What do you know?
WHAT ME,What about me?
WHAT NAME,What is the name?
WHAT NAME YOU,What is your name?
WHAT SLEEP,What about sleep?
WHAT UNDERSTAND,What do you understand?
WHAT WANT,What do you want?
WHAT YOU,What about you?
WHAT YOU EAT,What do you eat?
WHAT YOU NAME,What is your name?
WHAT YOU WANT,What do you want?
WHERE,Where?
WHERE EAT,Where do you eat?
WHERE FAMILY,Where is your family?
WHERE FRIEND,Where is your friend?
WHERE FROM,Where are you from?
WHERE GO,Where are you going?
WHERE HELP,Where can I get help?
WHERE HERE,Where is here?
WHERE HOME,Where is home?
WHERE I,Where am I?
WHERE KNOW,Where do you know from?
WHERE ME,Where am I?
WHERE SLEEP,Where do you sleep?
WHERE UNDERSTAND,Where do you understand?
WHERE WANT,Where do you want to go?
WHERE YOU,Where are you?
WHERE YOU FROM,Where are you from?
WHERE YOU GO,Where are you going?
WHERE YOU HOME,Where is your home?
WHO,Who?
WHO EAT,Who eats?
WHO FAMILY,Who is your family?
WHO FRIEND,Who is your friend?
WHO FROM,Who is from here?
WHO GO,Who goes?
WHO HELP,Who helps?
WHO HERE,Who is here?
WHO HOME,Who is home?
WHO I,Who am I?
WHO KNOW,Who knows?
WHO ME,Who am I?
WHO NAME,Who is that?
WHO SLEEP,Who sleeps?
WHO UNDERSTAND,Who understands?
WHO WANT,Who wants?
WHO YOU,Who are you?
WHY,Why?
WHY EAT,Why do you eat?
WHY FAMILY,Why family?
WHY FRIEND,Why friend?
WHY FROM,Why are you from here?
WHY GO,Why go?
WHY HELP,Why help?
WHY HERE,Why are you here?
WHY HOME,Why go home?
WHY I,Why do I?
WHY KNOW,Why do you know?
WHY ME,Why me?
WHY SLEEP,Why sleep?
WHY UNDERSTAND,Why do you understand?
WHY WANT,Why do you want?
WHY YOU,Why you?
WHY YOU GO,Why are you going?
WHY YOU HERE,Why are you here?
YES,Yes.
YES BAD,Yes, bad.
YES EAT,"Yes, eat."
YES FAMILY,Yes, family.
YES FRIEND,Yes, friend.
YES GO,"Yes, go."
YES GOOD,"Yes, good."
YES HELP,"Yes, help."
YES I,Yes, I.
YES KNOW,"Yes, I know."
YES ME,Yes, me.
YES NO,Yes or no?
YES OKAY,Yes, okay.
YES SLEEP,"Yes, sleep."
YES UNDERSTAND,"Yes, I understand."
YES WANT,"Yes, I want."
YES YOU,Yes, you.
YOU,You.
YOU EAT,You eat.
YOU FAMILY,Your family.
YOU FRIEND,Your friend.
YOU FROM,You are from here.
YOU GO,You go.
YOU GO HERE,You are coming here.
YOU GO HOME,You are going home.
YOU GO HOME TODAY,You go home today.
YOU GOOD,You are good.
YOU GOOD FRIEND,You are a good friend.
YOU HELP,You help.
YOU HELP ME,You help me.
YOU HERE,You are here.
YOU HOME,You are home.
YOU I,You and I.
YOU KNOW,You know.
YOU ME,You and me.
YOU NAME,Your name.
YOU OKAY,Are you okay?
YOU SLEEP,You sleep.
YOU TODAY,You, today.
YOU UNDERSTAND,You understand.
YOU WANT,You want.
YOU WANT EAT,You want to eat.
YOU WANT GO,You want to go.
YOU WANT GO HOME,You want to go home.
YOU WANT HELP,You need help.
YOU WANT HOME,You want to go home.
YOU WANT NAME,What is your name?
YOU WANT SLEEP,You want to sleep.
